ministry,website,division,name,designation,room,phones,email,source_url
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Bimla,PSO to JS (FT&TR-I),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Bhaskar Goswami,JS (FT&TR-II),,"26104504, 26177527",jsfttr-2@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,U K Rao,PS to JS (FT&TR-II),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Pankaj Jindal,JS (TPL-I),,"24012290,24012291",jstpl1@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ranjana Malik,PPS to JS (TPL-I),,-do-,ranjana.malik@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Pitambar Das,JS (TPL-II),,"24012305,24012305",jstpl2@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Tek Chand Dhall,PPS to JS (TPL-II),,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,S K Jha,JS (Admn-CBDT),,"24012300,24012301",skjha.67@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Rajni Nagpal,PPS to JS (Admin-CBDT),,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Roopak Kumar,"Commissioner. (C&IT), CBDT",,"24012325,24012326",commcoord-cbdt@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Jaya Choudhary,Commissioner (ITA),,"24012310,24012311",citita-cbdt@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Virander Singh,Commissioner (Income & Corporation Tax),,"24012315, 24012316",citi.itct.cbdt@incomtax.gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Krishna Gopal Goyal,Comm. (Vigilance),,"24012320, 24012321",citvig-cbdt@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Shashi Bhushan Shukla,Commissioner (Investigation),,"24012295, 24012296",citinv-cbdt@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Namita Khurana,Commissioner (A&J),,"24012344, 24012345",cit.aj.cbdt@incometax.gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Uma Maheshwari R,Dir.(FT&TR-I),,,dirfttr-1@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Anchal Khandelwal,DS (FT&TR-II),,,dirfttr2-rev@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Rekha S,Dir.(FT&TR-III),,,dir3eoi-dor@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sandeep Kumar,Dir.(FT&TR-IV),,,dirfttr4-rev@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Alankrutha,DS (FT&TR-V),,,dir-fttr5@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ekta Jain,DS (APA),,,dir-apa-rev@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Thakur Singh Mapwal,Dir.(TPL-I),,,dirtpl1@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Samuel Pitta,Dir.(TPL-II),,,dirtpl2@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ashish Kumar Agrawal,DS.(TPL-III),,"24012348, 24012349",dirtpl3@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Pradeep Sharma,Dir.(TPL-IV),,"24012346, 24012347",dirtpl4@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Rubal Singh,Dir.(Budget),,"24012358, 24012359",dirbud-cbdt@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant Dir (V&Amp;L),Dir.(V&L),,"24012323, 24012322",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,A K Vashisht,DS (Ad.VII&IX),,,asim.kumar25@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ghanshyam Kumar Meena,"DIR.(Ad.VI, VIA&DT)",,"24012368, 24012369",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Indu Bala,Dir. (ITA-II),,"24012362, 24012363",directorita-2@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Meenakshi Singh,Dir.(ITA-I),,"24012372, 24012373",ita-rev@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Rajesh Dhingra,DS (A&PAC),,,directorapac@incometax.gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Jyoti Shah,DIR.(INV.I),,"24012354, 24012355",director-inv1@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Saynabh Goyal,Dir.(Inv.II),,"24012356, 24012357",jcitinvii-cbdt@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Anshul,Director (Inv.III),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Pradeep Shekhar,Director (Inv.IV),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Jagdish,DS (Inv.V),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sandeep Rana,Addl.CIT( ITCC ),,"24012370, 24012371",diritcc-rev@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Divya Chaudhary,DS (ITJ),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vijay Raj Mohan,Director (HQ-Ad.VIII),,"24012374, 24012375",dirhq-cbdt@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Nitin Permnath Mane,US (Ad.VIA),,,np.mane68@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Chandra Mohan Kishan,US (Ad.IX),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Rajendra Kumar Meena,US (IT-Budget),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Malu Ram Meena,US (V&L),,,malurammeena@gmail.com,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ashok Kumar Singh,US (Ad.VII),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ram Lakhan,US (Ad.VI),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sanjeev Kumar,US (ITCC),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Shailendra Kumar Upadhyay,US (DT/Per),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Devendra Kumar,US (V&L-II),,,devendra.k13@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Bharat Mittal,US (FT&TR-I) (1),,,usfttr-1@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Babni Kumari,US (FT&TR-II) (1),,,usfttr2-dor@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Shresth Tayal,US (FT&TR-I) (2),,,usfttr2ii-dor@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Naveen Kumar,US (FT&TR-III) (1),,,us31eoi-dor@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Abhishri,US (FT&TR-III) (2),,,us32eoi-dor@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Nikhil Prasanna Sayan,US (FT&TR-IV) (1),,,usfttr4-i-rev@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Nidhi Barad,US (FT&TR-V),,,dcitosd-fttr5-rev@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Pooja Ranawat,US (APA-I),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sanket Agarwal,US (APA-II),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Kavita Yadav,US (OT/WT),,,usotwt1-cbdt@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Castro Jayapraksh T,US (ITA-II),,,usita2-cbdt@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant (Us (Inv I)),US (Inv.I),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Mohit Garg,US (Inv.II),,,usinv2-cbdt@gov.im,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Rohit Singh,US (TPL-I),,,ustpl1@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Kritika Jain,US (TPL-II),,,ustpl2@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Utkarsh Gupta,US (TPL-III),,,ustpl3@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Surbendu Thakur,US (TPL-IV),,,ustpl4@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sagar Sirra,SO (Ad.VI),,,manish.katariya@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Manish Katariya,SO (Ad.VI),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Narender Kumar,SO (Ad.VI-A),,,n.kumar88@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Hanuman Prasad Nishad,SO (Ad.VII),,,hp.nishad@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Yogesh Gulia,SO (Ad.VIII-DT),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Naveen Kumar Verma,SO (Ad.IX),,,naveen.verma84@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Dushyant,SO (DT/Per),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Indu Bala,SO (V&L-I),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vedprakash,SO (V&L-II),,,vp.dahinwal@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vishvajeet Kumar,SO (OT),,,vjeet.kumar@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Nidhi Chauhan,SO (A&PAC-I),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vinit Kumar,SO (A&PAC-II),,,vinit.kumar@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Himanshu Pabri,SO (ITA-I),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant So (Ita-Ii),SO (ITA-II),,,soitaii-cbdt@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Jyoti Tiwari,SO (Inv.I),,,soinv1rev-cbdt@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Brijesh Kumar Meena,SO (Inv.II) (1),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Indu Bhushan Lal,SO (Inv.II) (2),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant So(Inv-Iii),SO (IT-Inv.III),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ram Ishwar Yadav,SO (ITCC),,,ram.yadav88@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,U K Jha,SO (ITJ),,,uk.jha@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Mohit Kumar Meena,SO (IT-J (i)),,,mohit.meena@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant So(Wt),SO (W.T.),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Kirodi Mal Meena,SO (TPL),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sahil Mangla,SO (Budget),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Lunkhokim,SO (FT&TR-I),,,lun.kim@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Lalthuoilien Chhangte,SO (FT&TR-II),,,lal.chhangte@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Dinesh Kumar Meena,SO (TPL),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Subhash Chandra Meena,SO (FT&TR-I(ii)),,,subhashm.rgi@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ravinder Pratap Singh,SO (FT&TR-II (ii)),,,ravindra.singh64@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Lalhmingthang Songate,SO (FT&TR-III(i)),,,so31eoi-dor@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Kartik Yadav,SO (FT&TR-III(2)),,,so32eoi-dor@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Manish Dua,SO (FT&TR-IV(1)),,,dua.manish@nic.n,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Gautam Meena,SO (FT&TR-IV(ii)),,,gautam.meena@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Lalbieksang,SO (APA-I),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant So(Apa-Ii),SO (APA-II),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,S Lalpaul Gangte,SO (FT&TR-V),,,so-fttr5-rev@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vivek Chaturvedi,Chairman (CBIC),,"240122710, 24012711, 24012712",chmn-cbic@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,E Jotheeswaran,PPS to Chairman CBIC,,"24012710, 24012711, 24012712",e.jotheeswaran@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Mohan Kumar Singh,Member (IT),,"24012770, 24012771, 24012772",memberit-cbic@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vandana Banarjee,PSO to Member (IT),,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sanjay Mangal,"Member (GST, CX, ST)",,"24012720, 24012721, 24012722",member-gst.cbic@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Rajiv Dabas,"PPS to Member (GST, CX, ST)",,-do-,rajvir.dabas66@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant (Member (Tp)),Member (TP),,"24012740, 24012741",mem-taxpolicycbic@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Pso To Member (Tp),PSO to Member (TP),,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Abhai Kumar Srivastav,"Member, (Admn. & V)",,"24012750, 24012751, 24012752",member-admincbic@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Het Ram,"PSO to Member, (Admn. & V)",,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Yogendra Garg,Member(Customs),,"24012730, 24012731,24012732",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Surjit Bhujabal,Member (CM & Legal),,"24012760 , 24012761 , 24012762",memberinv.cbic@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Deepak Jiloha,Sr. PPS to Member (Customs),,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Himabindu Mudumbai,JS (Admn.-CBIC),,"24012707, 24012708",jsadm-cbec@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant Ps To (Admn -Cbic),PS to (Admn.-CBIC),,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Anupam Prakash,JS (Customs),,"24012705,24012706",jscus@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sarada Shiv Kumar,PPS to JS (Customs),,-do-,sarada.shiv@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Jainendra Singh Kandhari,JS (TRU-I),,"24012701, 24012702",js-tru01@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Meena Paudel,PPS to JS (TRU-I),,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sachin Jain,JS (TRU-II),,"24012703, 24012704",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Madhu Khurana,O/o JS (TRU-II),,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant Js (Dbk),JS (DBK),,,jsdbk-rev@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Manonmani,PPS to JS (DBK),,-do-,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ajay,JS (Review),,,js.review-cbec@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Manju Rani,PPS to JS (Review),,-do-,manjurani-cwc@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Manish Mani Tiwari,Commissioner. (Customs/EP),,"24012738, 24012739",commr.cus-cbec@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Deepak Kumar,PA to Comm. (Customs/EP),,-do-,commr.cus-cbec@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Dinesh Bouddh,Comm. (Hqrs.) (Coord.) CBIC,,"24012754, 24012755",commrcoord-cbec@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Abhishek Chandra Gupta,Comm.(HQRS.) (RI&I),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Aman Kumar,PA to (Comm. (Hqrs.) (Coord.) CBIC,,-do-,commrcoord-cbec@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Shahjeyar Eqbal Faisal,Commissioner (L&J),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Gaurav Singh,Commissioner (Hqrs & CX ),,"24012726, 24012727",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Himani Bhayan,Commissioner (CX&ST),,"24012736, 24012737",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vandana Marwah,DDG (TPRU),,011-23755548,vandana.marwah@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Modasar Shafi,DS (Service Tax),,"24012766, 24012767",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Bhagwad Prasad Sharma,Dir.(Review),,,sharma.bhagwat@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Poonam Bhatt,DS (Anti-Smuggling),,,poonambhatt.irs@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Anurima Sharma,Dir. (Customs),,"24012734, 24012735",dircus@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Malay Samir,DS (DBK),,,dirdbk-rev@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Deepa Shrivastava,Addl.comm( ICD ),,"24012718, 24012719",diricd-cbec@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Ravinder Kumar,Director (TRU-I),,"24012746, 24012747",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Amreeta Titus,Director(TRU),,"24012714, 24012715",amreeta.titus@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Puneeta Bedi,Dir.(TRU),,"24012716, 24012717",maliabedi.83@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Modassar Shafi,DS (Cx.&ST),,"24012766, 24012767",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant Dir (Pac),Dir.(PAC),,,irfan.aziz76@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Neha Kalra Asnani,Director (TRU-II),,"24012744, 24012745",neha.kalra@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,A K Singh,Ds.(Ad.VIII-EC),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Gajender Kumar Verma,DS (Ad.IV/IVA),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Rajesh Kumar Makkar,Dir.(Ad.II A&B),,"24012774, 24012775",rajesh.makkar@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,M K Sahay,Dir.(Ad.V),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Sushil Kumar Sahay,DS (Ad.IIIB),,,jha.ranjan@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Manish Kumar Sahay,DS (Ad.IIIA),,,ds-admn3a@gov.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Director (Ad Ii),Director (Ad.II),,"24012398, 24012399",-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,S A Ansari,DS (Ad.II),,"24012756, 24012757",sa.ansari@nic.in,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Prabjot Kaur,US( Customs Policy Wing),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant Us (Ad Iia &Amp; B),US (Ad.IIA & B),,,-,https://dor.gov.in/index.php/whos-who
Department of Revenue (DoR),https://dor.gov.in,Draft Model GST Laws,Vacant Us (Ad Iia),US (Ad.IIA),,,-,https://dor.gov.in/index.php/whos-who
